Inicio x0,Inicio y0,Método,x*,y*,f(x*),Iteraciones
2.0,2.0,Gradiente (Armijo),-1.8078420795938742e-09,-1.8078420795938742e-09,-3.1148154493098046,10000
2.0,2.0,Gradiente (α=0.1),1.3160842081731834e-11,1.3160842081731834e-11,-3.1148154493098046,225
2.0,2.0,"Newton (regularizado, Armijo)",1.075334796318936e-22,1.0918784085699965e-22,-3.1148154493098046,6
5.0,-5.0,Gradiente (Armijo),-3.3141137880373824e-09,3.3141137880373824e-09,-3.1148154493098046,10000
5.0,-5.0,Gradiente (α=0.1),1.133367757787958e-11,-1.133367757787958e-11,-3.1148154493098046,6526
5.0,-5.0,"Newton (regularizado, Armijo)",-1.26430255289545e-18,1.26430255289545e-18,-3.1148154493098046,7
10.0,0.0,Gradiente (Armijo),-6.628227576074765e-09,0.0,-3.1148154493098046,10000
10.0,0.0,Gradiente (α=0.1),2.266735515575916e-11,0.0,-3.1148154493098046,6526
10.0,0.0,"Newton (regularizado, Armijo)",-2.5283933475540865e-18,0.0,-3.1148154493098046,7
